Time,Bearing 1
176.0,-0.425
176.00005,-0.564
176.0001,-0.84
176.00015,0.1
176.0002,0.212
176.00024,0.264
176.0003,0.447
176.00035,0.713
176.0004,-0.081
176.00044,-1.152
176.0005,-0.339
176.00055,0.723
176.0006,0.212
176.00066,-0.269
176.0007,-0.605
176.00075,0.679
176.0008,0.737
176.00085,-0.22
176.0009,-0.732
176.00095,-0.391
176.001,0.537
176.00105,0.415
176.0011,-0.54
176.00114,-0.786
176.0012,-0.073
176.00125,0.54
176.0013,-0.083
176.00134,-0.601
176.0014,0.571
176.00145,0.618
176.0015,-0.249
176.00156,-0.635
176.0016,-0.291
176.00165,0.52
176.0017,0.168
176.00175,-0.415
176.0018,-0.422
176.00185,0.374
176.0019,0.674
176.00195,0.31
176.002,-0.098
176.00204,-0.02
176.0021,0.01
176.00215,0.002
176.0022,-0.093
176.00224,-0.103
176.0023,-0.161
176.00235,0.024
176.0024,0.005
176.00246,-0.095
176.0025,-0.259
176.00255,-0.098
176.0026,0.244
176.00266,-0.107
176.0027,-0.308
176.00275,-0.396
176.0028,0.09
176.00285,0.33
176.0029,0.007
176.00294,-0.017
176.003,-0.452
176.00305,-0.2
176.0031,0.2
176.00314,0.532
176.0032,0.442
176.00325,-0.073
176.0033,-0.505
176.00336,-0.176
176.0034,0.403
176.00345,0.344
176.0035,0.0
176.00356,-0.457
176.0036,-0.242
176.00365,0.479
176.0037,0.032
176.00375,-0.823
176.0038,-0.583
176.00385,-0.205
176.0039,-0.066
176.00395,-0.132
176.004,-0.364
176.00404,0.461
176.0041,0.713
176.00415,1.606
176.0042,2.578
176.00426,0.486
176.0043,2.446
176.00435,0.945
176.0044,-0.129
176.00446,-1.284
176.0045,-0.276
176.00455,1.238
176.0046,0.186
176.00465,-1.238
176.0047,-0.085
176.00475,0.171
176.0048,-0.129
176.00485,-0.554
176.0049,0.386
176.00494,0.588
176.005,-0.486
176.00505,-0.952
176.0051,0.232
176.00516,0.791
176.0052,0.432
176.00525,-0.286
176.0053,-0.552
176.00536,0.049
176.0054,0.164
176.00545,-0.049
176.0055,-0.693
176.00555,-0.537
176.0056,0.364
176.00565,0.32
176.0057,-0.457
176.00575,0.444
176.0058,0.376
176.00584,-0.396
176.0059,-0.471
176.00595,-0.078
176.006,0.32
176.00604,-0.156
176.0061,-0.283
176.00615,-0.017
176.0062,0.552
176.00626,0.601
176.0063,0.12
176.00635,0.215
176.0064,0.637
176.00645,-0.071
176.0065,-0.217
176.00655,-0.046
176.0066,-0.027
176.00665,-0.122
176.0067,0.015
176.00674,-0.151
176.0068,-0.078
176.00685,-0.071
176.0069,-0.378
176.00694,-0.049
176.007,-0.447
176.00705,-0.505
176.0071,-0.273
176.00716,-0.049
176.0072,0.146
176.00725,0.1
176.0073,0.188
176.00735,0.161
176.0074,0.393
176.00745,0.269
176.0075,0.037
176.00755,0.398
176.0076,0.164
176.00764,-0.247
176.0077,-0.059
176.00775,0.164
176.0078,0.227
176.00784,0.02
176.0079,-0.273
176.00795,-0.259
176.008,0.1
176.00806,0.068
176.0081,-0.474
176.00815,-0.835
176.0082,-0.479
176.00826,0.212
176.0083,0.293
176.00835,0.432
176.0084,0.576
176.00845,-2.429
176.0085,-3.066
176.00854,0.662
176.0086,-0.415
176.00865,-0.483
