Time,Bearing 1
160.0,0.017
160.00005,0.356
160.0001,0.405
160.00015,0.129
160.0002,0.071
160.00024,-0.032
160.0003,-0.2
160.00035,-0.278
160.0004,-0.322
160.00044,-0.171
160.0005,-0.073
160.00055,-0.056
160.0006,0.049
160.00066,0.178
160.0007,0.276
160.00075,0.295
160.0008,0.156
160.00085,0.039
160.0009,-0.027
160.00095,-0.081
160.001,-0.051
160.00105,-0.166
160.0011,-0.127
160.00114,-0.085
160.0012,-0.002
160.00125,0.015
160.0013,0.027
160.00134,-0.095
160.0014,-0.061
160.00145,-0.068
160.0015,-0.044
160.00156,-0.078
160.0016,0.039
160.00165,0.098
160.0017,0.227
160.00175,0.193
160.0018,0.149
160.00185,0.181
160.0019,0.073
160.00195,0.239
160.002,0.166
160.00204,0.083
160.0021,-0.024
160.00215,-0.022
160.0022,0.173
160.00224,0.088
160.0023,0.085
160.00235,-0.371
160.0024,-0.312
160.00246,-0.054
160.0025,0.029
160.00255,-0.281
160.0026,-0.505
160.00266,0.322
160.0027,0.212
160.00275,-0.259
160.0028,-0.237
160.00285,-0.269
160.0029,-0.012
160.00294,-0.134
160.003,-0.247
160.00305,-0.115
160.0031,0.032
160.00314,-0.066
160.0032,0.063
160.00325,0.181
160.0033,0.103
160.00336,0.044
160.0034,0.037
160.00345,0.439
160.0035,0.435
160.00356,-0.181
160.0036,-0.371
160.00365,0.015
160.0037,0.146
160.00375,-0.012
160.0038,-0.703
160.00385,0.068
160.0039,0.613
160.00395,0.173
160.004,-0.488
160.00404,-0.454
160.0041,0.002
160.00415,0.173
160.0042,-0.054
160.00426,-0.295
160.0043,-0.198
160.00435,0.254
160.0044,0.227
160.00446,0.076
160.0045,0.034
160.00455,0.159
160.0046,0.156
160.00465,-0.205
160.0047,-0.403
160.00475,-0.278
160.0048,-0.129
160.00485,0.029
160.0049,-0.022
160.00494,-0.122
160.005,-0.02
160.00505,0.132
160.0051,0.273
160.00516,0.081
160.0052,-0.122
160.00525,-0.166
160.0053,-0.139
160.00536,-0.142
160.0054,-0.122
160.00545,-0.063
160.0055,0.066
160.00555,0.083
160.0056,0.11
160.00565,-0.012
160.0057,-0.024
160.00575,0.105
160.0058,0.037
160.00584,-0.168
160.0059,-0.183
160.00595,-0.042
160.006,-0.01
160.00604,0.178
160.0061,0.154
160.00615,0.137
160.0062,0.093
160.00626,0.032
160.0063,0.005
160.00635,0.002
160.0064,-0.044
160.00645,0.042
160.0065,-0.164
160.00655,-0.142
160.0066,0.09
160.00665,0.132
160.0067,-0.09
160.00674,-0.193
160.0068,0.217
160.00685,0.308
160.0069,0.017
160.00694,-0.696
160.007,-0.322
160.00705,0.027
160.0071,-0.054
160.00716,-0.259
160.0072,-0.266
160.00725,0.083
160.0073,-0.144
160.00735,-0.234
160.0074,-0.095
160.00745,-0.017
160.0075,0.037
160.00755,-0.02
160.0076,0.017
160.00764,0.369
160.0077,0.305
160.00775,-0.413
160.0078,0.037
160.00784,0.662
160.0079,0.315
160.00795,-0.115
160.008,-0.349
160.00806,-0.112
160.0081,-0.01
160.00815,-0.122
160.0082,-0.276
160.00826,-0.054
160.0083,0.64
160.00835,0.129
160.0084,-0.227
160.00845,-0.203
160.0085,0.366
160.00854,0.217
160.0086,-0.193
160.00865,-0.317
160.0087,-0.083
160.00874,0.393
160.0088,0.518
160.00885,0.22
160.0089,0.115
160.00896,0.259
160.009,0.317
160.00905,-0.063
160.0091,-0.452
160.00916,-0.269
160.0092,-0.056
160.00925,0.095
160.0093,-0.071
160.00935,-0.171
160.0094,0.044
160.00945,0.251
160.0095,0.261
160.00955,0.11
160.0096,-0.039
160.00964,-0.195
160.0097,-0.054
160.00975,-0.034
160.0098,-0.129
160.00986,-0.042
160.0099,0.051
160.00995,0.11
160.01,0.037
160.01006,-0.049
160.0101,-0.01
160.01015,0.015
160.0102,-0.193
160.01025,-0.278
160.0103,-0.247
160.01035,-0.007
160.0104,0.044
160.01045,0.022
160.0105,-0.044
160.01054,0.066
160.0106,0.208
160.01065,0.071
160.0107,-0.049
160.01076,0.085
160.0108,0.122
160.01085,0.054
160.0109,0.022
160.01096,0.127
160.011,0.303
160.01105,0.122
160.0111,-0.381
160.01115,-0.583
160.0112,-0.002
160.01125,0.149
160.0113,-0.364
160.01135,-0.659
160.0114,0.049
160.01144,0.137
160.0115,0.088
160.01155,-0.295
160.0116,-0.381
160.01164,-0.09
160.0117,-0.095
160.01175,-0.125
160.0118,0.037
160.01186,-0.181
160.0119,-0.151
160.01195,0.278
160.012,0.361
160.01205,-0.081
160.0121,-0.02
160.01215,-0.034
160.0122,0.251
160.01225,0.41
160.0123,-0.012
160.01234,-0.378
160.0124,-0.107
160.01245,0.034
160.0125,-0.088
160.01254,-0.408
160.0126,-0.171
160.01265,0.215
160.0127,0.317
160.01276,0.007
160.0128,-0.142
160.01285,0.078
160.0129,0.034
160.01295,0.122
160.013,0.181
160.01305,-0.012
160.0131,0.078
160.01315,0.342
160.0132,0.337
160.01324,0.171
160.0133,0.027
160.01335,0.098
160.0134,-0.029
160.01344,-0.283
160.0135,-0.393
160.01355,-0.247
160.0136,0.037
