Time,Bearing 1
100.0,-0.161
100.00005,-0.073
100.0001,-0.01
100.00015,-0.037
100.0002,-0.061
100.00025,-0.027
100.0003,0.032
100.00035,0.037
100.0004,0.046
100.00045,0.139
100.0005,0.195
100.00055,0.186
100.0006,-0.027
100.00065,0.012
100.0007,0.095
100.00075,0.161
100.0008,0.078
100.00085,-0.247
100.0009,-0.195
100.00095,0.044
100.001,-0.168
100.00105,-0.237
100.0011,0.2
100.00115,0.315
100.0012,-0.071
100.00125,-0.298
100.0013,-0.039
100.00135,0.298
100.0014,0.154
100.00145,-0.125
100.0015,-0.21
100.00155,0.11
100.0016,0.22
100.00165,0.085
100.0017,-0.09
100.00175,0.083
100.0018,0.056
100.00185,-0.127
100.0019,-0.276
100.00195,-0.176
100.002,0.039
100.00205,0.017
100.0021,-0.21
100.00215,-0.105
100.0022,0.122
100.00225,0.259
100.0023,0.107
100.00235,-0.015
100.0024,0.076
100.00245,0.056
100.0025,-0.002
100.00255,-0.088
100.0026,-0.059
100.00265,0.017
100.0027,-0.073
100.00275,-0.117
100.0028,-0.056
100.00285,-0.063
100.0029,-0.156
100.00295,-0.127
100.003,-0.068
100.00305,-0.093
100.0031,-0.034
100.00315,0.063
100.0032,-0.022
100.00325,-0.066
100.0033,0.093
100.00335,0.11
100.0034,-0.044
100.00345,-0.027
100.0035,-0.044
100.00355,-0.007
100.0036,0.039
100.00365,-0.024
100.0037,-0.144
100.00375,-0.059
100.0038,0.056
100.00385,-0.034
100.0039,-0.112
100.00395,-0.107
100.004,-0.093
100.00405,-0.027
100.0041,0.015
100.00415,-0.103
100.0042,-0.083
100.00425,0.078
100.0043,0.105
100.00435,0.017
100.0044,-0.11
100.00445,-0.066
100.0045,0.029
100.00455,0.042
100.0046,-0.061
100.00465,-0.154
100.0047,-0.142
100.00475,0.034
100.0048,0.151
100.00485,0.125
100.0049,0.017
100.00495,-0.049
100.005,-0.017
100.00505,0.032
100.0051,0.229
100.00515,0.12
100.0052,-0.2
100.00525,-0.144
100.0053,-0.107
100.00535,-0.132
100.0054,0.183
100.00545,0.188
100.0055,-0.039
100.00555,-0.342
100.0056,-0.229
100.00565,0.044
100.0057,0.161
100.00575,-0.002
100.0058,-0.288
100.00585,-0.159
100.0059,0.3
100.00595,0.322
100.006,0.125
100.00605,-0.022
100.0061,-0.022
100.00615,0.046
100.0062,0.007
100.00625,0.0
100.0063,0.039
100.00635,0.029
100.0064,-0.215
100.00645,-0.012
100.0065,0.098
100.00655,0.317
100.0066,0.164
100.00665,-0.056
100.0067,0.059
100.00675,0.054
100.0068,-0.076
100.00685,-0.095
100.0069,-0.012
100.00695,0.02
100.007,-0.134
100.00705,-0.139
100.0071,0.02
100.00715,0.061
100.0072,-0.103
100.00725,-0.112
100.0073,-0.054
100.00735,0.098
100.0074,0.046
100.00745,-0.044
100.0075,-0.085
100.00755,0.063
100.0076,0.107
100.00765,0.056
100.0077,-0.015
100.00775,-0.012
100.0078,-0.103
100.00785,-0.037
100.0079,-0.015
100.00795,-0.029
100.008,0.005
100.00805,-0.027
100.0081,-0.002
100.00815,0.01
100.0082,0.039
100.00825,0.081
100.0083,0.164
100.00835,0.071
100.0084,-0.005
100.00845,-0.081
100.0085,-0.024
100.00855,0.073
100.0086,0.054
100.00865,-0.007
100.0087,-0.09
100.00875,-0.146
100.0088,-0.193
100.00885,-0.239
100.0089,-0.137
100.00895,-0.061
100.009,-0.115
100.00905,-0.166
100.0091,-0.068
100.00915,0.195
100.0092,0.176
100.00925,0.059
100.0093,-0.115
100.00935,-0.027
100.0094,0.171
100.00945,0.134
100.0095,0.059
100.00955,-0.085
100.0096,-0.049
